Record.Number,Length
1,151
2,182
3,182
4,162
5,177
6,166
7,197
8,144
9,174
10,172
11,174
12,160
13,53
14,50
15,52
16,64
17,53
18,53
19,52
20,51
21,55
22,56
23,51
24,63
25,57
26,56
27,53
28,51
29,59
30,51
31,57
32,51
33,131
34,85
35,80
36,55
37,50
38,84
39,52
40,53
41,53
42,75
43,56
44,68
45,60
46,54
47,51
48,59
49,75
50,52
51,50
52,54
53,55
54,50
55,55
56,54
57,80
58,80
59,92
60,54
61,76
62,70
63,71
64,54
65,72
66,50
67,156
68,56
69,68
70,52
71,54
72,56
73,54
74,125
75,51
76,51
77,54
78,52
79,56
80,56
81,54
82,55
83,55
84,52
85,56
86,50
87,51
88,46
89,170
90,74
91,64
92,153
93,86
94,52
95,72
96,172
97,146
98,127
99,65
100,93
101,156
102,140
103,159
104,80
105,155
106,78
107,158
108,67
109,57
110,165
111,81
112,155
113,141
114,180
115,145
116,145
117,150
118,76
119,145
120,135
121,82
122,88
123,105
124,122
125,75
126,74
127,84
128,77
129,76
130,72
131,180
132,75
133,152
134,87
135,161
136,170
137,156
138,150
139,122
140,140
141,77
142,85
143,80
144,133
145,145
146,190
147,165
148,176
149,170
150,145
151,160
152,162
153,157
154,155
155,146
156,155
157,143
158,154
159,157
160,141
161,150
162,142
163,139
164,137
165,72
166,66
167,146
168,130
169,126
170,85
171,179
172,80
173,75
174,138
175,75
176,70
177,72
178,87
179,103
180,163
181,80
182,135
183,157
184,150
185,129
186,84
187,89
188,72
189,147
190,153
191,84
192,150
193,140
194,146
195,138
196,154
197,137
198,189
199,165
200,142
201,140
202,141
203,160
204,125
205,156
206,145
207,159
208,147
209,155
210,178
211,80
212,195
213,71
214,82
215,94
216,80
217,70
218,74
219,81
220,76
221,175
222,110
223,80
224,77
225,105
226,86
227,67
228,70
229,149
230,158
231,139
232,128
233,105
234,68
235,144
236,119
237,117
238,115
239,120
240,75
241,174
242,133
243,143
244,145
245,177
246,79
247,86
248,87
249,87
250,156
251,81
252,138
253,75
254,125
255,173
256,175
257,220
258,172
259,132
260,163
261,139
262,142
263,180
264,152
265,157
266,165
267,147
268,154
269,167
270,167
271,155
272,159
273,149
274,172
275,202
276,155
277,149
278,144
279,162
280,165
281,156
282,140
283,154
284,158
285,182
286,135
287,163
288,155
289,173
290,83
291,75
292,75
293,76
294,84
295,86
296,70
297,81
298,78
299,146
300,115
301,74
302,75
303,68
304,135
305,142
306,75
307,140
308,131
309,88
310,100
311,155
312,171
313,169
314,83
315,153
316,84
317,84
318,74
319,80
320,74
321,76
322,73
323,73
324,158
325,156
326,160
327,80
328,75
329,152
330,70
331,75
332,76
333,164
334,114
335,84
336,80
337,78
338,76
339,144
340,181
341,175
342,201
343,200
344,171
345,201
346,195
347,195
348,194
349,191
350,180
351,151
352,170
353,168
354,137
355,204
356,154
357,179
358,191
359,149
360,171
361,162
362,185
363,175
364,180
365,164
366,205
367,168
368,178
369,139
370,158
371,134
372,179
373,179
374,127
375,149
376,149
377,148
378,152
379,77
380,141
381,154
382,112
383,145
384,125
385,142
386,74
387,100
388,142
389,139
390,140
391,142
392,140
393,118
394,134
395,138
396,131
397,144
398,142
399,140
400,132
401,133
402,206
403,77
404,147
405,139
406,137
407,133
408,162
409,153
410,160
411,187
412,164
413,166
414,154
415,174
416,115
417,157
418,161
419,166
420,136
421,185
422,143
423,152
424,120
425,146
426,177
427,155
428,179
429,156
430,157
431,100
432,101
433,195
434,73
435,138
436,77
437,86
438,202
439,179
440,162
441,189
442,161
443,169
444,149
445,170
446,170
447,155
448,212
449,158
450,166
451,168
452,154
453,143
454,159
455,177
456,170
457,145
458,144
459,138
460,154
461,125
462,174
463,169
464,170
465,156
466,166
467,141
468,171
469,155
470,157
471,119
472,177
473,152
474,150
475,149
476,160
477,152
478,147
479,148
480,160
481,145
482,114
483,162
484,160
485,153
486,144
487,184
488,166
489,129
490,164
491,149
492,157
493,188
494,154
495,166
496,132
497,180
498,124
499,145
500,140
501,131
502,164
503,153
504,135
505,154
506,74
507,140
508,184
509,85
510,70
511,75
512,80
513,81
514,85
515,75
516,84
517,68
518,80
519,161
520,73
521,93
522,158
523,170
524,154
525,155
526,146
527,160
528,180
529,140
530,150
531,148
532,160
533,126
534,146
535,144
536,168
537,77
538,153
539,113
540,189
541,150
542,147
543,152
544,149
545,147
546,147
547,119
548,123
549,179
550,160
551,166
552,136
553,139
554,150
555,143
556,156
557,145
558,140
559,69
560,65
561,134
562,179
563,159
564,176
565,157
566,154
567,160
568,74
569,160
570,72
571,134
572,152
573,147
574,144
575,125
576,135
577,136
578,162
579,160
580,137
581,155
582,139
583,177
584,162
585,130
586,136
587,132
588,149
589,156
590,142
591,136
592,149
593,138
594,130
595,129
596,140
597,170
598,115
599,155
600,150
601,146
602,136
603,136
604,173
605,153
606,138
607,147
608,161
609,133
610,84
611,159
612,134
613,72
614,68
615,72
616,95
617,91
618,72
619,78
620,78
621,89
622,79
623,69
624,78
625,83
626,73
627,65
628,104
629,79
630,92
631,80
632,65
633,129
634,65
635,80
636,74
637,79
638,69
639,77
640,74
641,76
642,69
643,86
644,75
645,78
646,72
647,74
648,74
649,83
650,87
651,76
652,82
653,109
654,92
655,75
656,73
657,70
658,81
659,82
660,120
661,115
662,72
663,83
664,83
665,75
666,75
667,78
668,85
669,79
670,81
671,83
672,69
673,78
674,76
675,75
676,70
677,78
678,86
679,77
680,77
681,75
682,135
683,75
684,72
685,79
686,76
687,85
688,77
689,76
690,178
691,158
692,176
693,161
694,135
695,79
696,135
697,73
698,152
699,144
700,80
701,159
702,138
703,158
704,153
705,89
706,88
707,147
708,154
709,56
710,76
711,161
712,152
713,47
714,140
715,152
716,98
717,80
718,128
719,158
720,136
721,155
722,160
723,166
724,149
725,129
726,153
727,144
728,145
729,141
730,155
731,135
732,143
733,153
734,116
735,173
736,156
737,139
738,75
739,75
740,88
741,75
742,76
743,83
744,73
745,144
746,120
747,77
748,142
749,70
750,70
751,82
752,142
753,136
754,135
755,149
756,125
757,136
758,69
759,73
760,73
761,138
762,82
763,131
764,136
765,103
766,83
767,187
768,70
769,167
770,172
771,145
772,156
773,149
774,150
775,157
776,148
777,192
778,131
779,158
780,161
781,147
782,144
783,154
784,169
785,144
786,76
787,82
788,69
789,69
790,79
791,122
792,82
793,78
794,72
795,74
796,72
797,165
798,79
799,77
800,78
801,70
802,79
803,100
804,169
805,155
806,141
807,79
808,141
809,166
810,90
811,150
812,149
813,163
814,145
815,160
816,135
817,138
818,80
819,80
820,86
821,74
822,78
823,76
824,74
825,76
826,77
827,76
828,69
829,80
830,81
831,72
832,75
833,78
834,110
835,80
836,76
837,138
838,89
839,86
840,71
841,76
842,73
843,75
844,87
845,71
846,72
847,82
848,80
849,75
850,75
851,72
852,107
853,153
854,78
855,79
856,87
857,90
858,147
859,82
860,80
861,77
862,77
863,78
864,78
865,85
866,165
867,140
868,140
869,110
870,90
871,80
872,86
873,75
874,85
875,74
876,85
877,82
878,73
879,185
880,185
881,153
882,149
883,153
884,88
885,127
886,150
887,177
888,142
